Location,Population,% of world,Date
World,8119000000,100%,2024-07-01
India,1413324000,17.3%,2025-03-01
China,1408280000,17.2%,2024-12-31
United States,340110988,4.2%,2024-07-01
Indonesia,282477584,3.5%,2024-06-30
Pakistan,241499431,3.0%,2023-03-01
Nigeria,223800000,2.7%,2023-07-01
Brazil,212583750,2.6%,2024-07-01
Bangladesh,169828911,2.1%,2022-06-14
Russia,146028325,1.8%,2025-01-01
Mexico,130294079,1.6%,2024-12-31
Japan,123540000,1.5%,2025-02-01
Philippines,114123600,1.4%,2025-07-01
Ethiopia,109499000,1.3%,2024-07-01
Democratic Republic of the Congo,109276000,1.3%,2024-07-01
Egypt,105914499,1.3%,2024-01-01
Vietnam,101343800,1.2%,2024-12-31
Iran,85961000,1.1%,2024-03-20
Turkey,85664944,1.0%,2024-12-31
Germany,83555478,1.0%,2024-09-30
France,68603000,0.8%,2025-02-01
United Kingdom,68265209,0.8%,2023-07-01
Thailand,65932105,0.8%,2025-01-31
South Africa,63015904,0.8%,2024-07-30
Tanzania,61741120,0.8%,2022-08-23
Italy,58966101,0.7%,2024-11-30
Colombia,52695952,0.6%,2024-01-01
Kenya,52428290,0.6%,2024-01-01
Myanmar,51316756,0.6%,2024-10-15
South Korea,51207874,0.6%,2025-01-31
Sudan,50448963,0.6%,2024-07-01
Spain,49077984,0.6%,2025-01-01
Algeria,47400000,0.6%,2025-01-01
Argentina,47067641,0.6%,2024-07-01
Uganda,45905417,0.6%,2024-05-10
Iraq,44414800,0.5%,2024-07-01
Afghanistan,42045000,0.5%,2024-07-01
Canada,41465298,0.5%,2024-10-01
Uzbekistan,37543167,0.5%,2025-01-01
Poland,37490000,0.5%,2024-12-31
Morocco,36828330,0.5%,2024-09-01
Angola,35121734,0.4%,2024-06-01
Malaysia,34157500,0.4%,2024-12-31
Peru,34038457,0.4%,2024-07-01
Mozambique,33244414,0.4%,2024-07-01
Ghana,33007618,0.4%,2024-07-01
Ukraine,32962000,0.4%,2025-01-01
Yemen,32305264,0.4%,2022-07-01
Saudi Arabia,32175224,0.4%,2022-05-10
Madagascar,30811969,0.4%,2024-07-01
Ivory Coast,29389150,0.4%,2021-12-14
Nepal,29164578,0.4%,2021-11-25
Cameroon,28758503,0.4%,2024-07-01
Venezuela,28405543,0.3%,2024-07-01
Australia,27204800,0.3%,2024-06-30
Niger,26312034,0.3%,2024-07-01
North Korea,25950000,0.3%,2024-07-01
Syria,24672760,0.3%,2024-07-01
Burkina Faso,23409015,0.3%,2024-07-01
Taiwan,23384614,0.3%,2025-02-28
Mali,22395489,0.3%,2022-06-15
Sri Lanka,21916000,0.3%,2024-07-01
Kazakhstan,20300618,0.2%,2025-02-01
Malawi,20270568,0.2%,2024-07-01
Chile,20086377,0.2%,2024-06-30
Zambia,19610769,0.2%,2022-09-14
Romania,19064409,0.2%,2024-01-01
Somalia,19009151,0.2%,2024-07-01
Chad,18675547,0.2%,2024-07-01
Senegal,18126390,0.2%,2023-05-15
Netherlands,18051856,0.2%,2025-01-31
Guatemala,17843132,0.2%,2024-07-01
Cambodia,17336307,0.2%,2024-07-01
Ecuador,16938986,0.2%,2022-10-01
Zimbabwe,16751469,0.2%,2024-07-01
South Sudan,15254268,0.2%,2023-07-01
Guinea,14363931,0.2%,2025-07-01
Rwanda,13798561,0.2%,2024-07-01
Benin,12910087,0.2%,2024-07-01
Burundi,12837740,0.2%,2022-07-01
Haiti,12394537,0.2%,2024-07-01
Tunisia,11887412,0.1%,2024-01-01
Belgium,11812354,0.1%,2025-01-01
Papua New Guinea,11781559,0.1%,2021-07-01
Jordan,11734000,0.1%,2024-12-31
Bolivia,11312620,0.1%,2024-03-23
Cuba,11089511,0.1%,2022-12-31
Czech Republic,10897237,0.1%,2024-09-30
Dominican Republic,10771504,0.1%,2022-11-10
United Arab Emirates,10678556,0.1%,2023-12-31
Portugal,10639726,0.1%,2023-12-31
Sweden,10588020,0.1%,2025-01-31
Greece,10400720,0.1%,2024-01-01
Tajikistan,10277100,0.1%,2024-01-01
Azerbaijan,10218536,0.1%,2024-11-01
Israel,10026900,0.1%,2024-12-31
Honduras,9892632,0.1%,2024-07-01
Hungary,9540000,0.1%,2025-01-01
Austria,9198214,0.1%,2025-01-01
Belarus,9155978,0.1%,2024-01-01
Switzerland,9027859,0.1%,2024-09-30
